행정구역별,산업별,사업체구분별,항목,단위,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,계산결과,464.92,539.67,"8,247.50","7,407"
충남,도매 및 소매업(45~47),계,종사자수[명],명,79502,82506,84621,85529,87607,88389,89681,93669,98782,104440,104402,106142,109494,114902,100615,0.813296959,,,,
충남,운수 및 창고업(49~52),계,사업체수[개],개,10012,10465,10827,10879,11106,11734,11784,12209,12660,13027,13348,13688,14688,14975,16127,0.130358695,,,,
충남,운수 및 창고업(49~52),계,종사자수[명],명,24472,25343,27281,28590,29078,30118,29594,30655,31425,33740,35182,36310,37604,39701,37870,0.306112964,,,,
충남,숙박 및 음식점업(55~56),계,사업체수[개],개,28869,29358,29434,29220,29535,30527,30757,31553,32836,33690,34582,35593,36804,37500,39653,0.320525412,,,,
충남,숙박 및 음식점업(55~56),계,종사자수[명],명,68461,71293,71480,70796,72241,75315,77734,80610,83912,87420,90185,93601,97680,102408,86765,0.701343842,,,,
충남,정보통신업(58~63),계,사업체수[개],개,554,531,531,536,544,590,626,669,767,764,770,791,839,892,964,0.00779226,,,,
충남,정보통신업(58~63),계,종사자수[명],명,6084,5892,5822,6335,5939,6650,5836,6195,5967,6018,6154,5941,6279,6647,6237,0.050415277,,,,
충남,금융 및 보험업(64~66),계,사업체수[개],개,1444,1483,1516,1547,1608,1653,1632,1626,1651,1627,1667,1666,1670,1658,1649,0.013329292,,,,
충남,금융 및 보험업(64~66),계,종사자수[명],명,17756,18161,18824,20520,20322,20228,20188,19401,19717,19889,20084,19835,19076,19227,17522,0.141634839,,,,
충남,부동산업(68),계,사업체수[개],개,3359,3458,3586,3670,3763,4016,3864,3987,4279,4300,4612,4929,5197,5411,5712,0.046171567,,,,
충남,부동산업(68),계,종사자수[명],명,9889,9542,10276,11025,11402,11918,10800,11095,12044,11684,12903,12717,13608,14190,13609,0.110005052,,,,
충남,"전문, 과학 및 기술 서비스업(70~73)",계,사업체수[개],개,1706,1764,1816,1861,1933,2072,2168,2329,2644,2786,2900,2946,3215,3492,3748,0.030296049,,,,
충남,"전문, 과학 및 기술 서비스업(70~73)",계,종사자수[명],명,10295,11584,11739,11938,11894,12723,12670,14629,16391,17639,19332,19333,20784,22584,24384,0.197102152,,,,
충남,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,사업체수[개],개,1561,1582,1589,1615,1703,2022,2160,2353,2590,2743,2772,2882,2965,3250,3488,0.028194402,,,,
충남,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,종사자수[명],명,12206,13522,12597,14548,18693,21159,22844,25202,27498,33186,30472,30839,31104,35416,38196,0.308748105,,,,
충남,"공공행정, 국방 및 사회보장 행정(84)",계,사업체수[개],개,871,871,862,816,768,769,747,763,758,764,756,767,769,762,747,0.006038193,,,,
충남,"공공행정, 국방 및 사회보장 행정(84)",계,종사자수[명],명,24507,25459,26853,31224,30296,28396,29811,29054,29213,30652,30598,30985,32222,35093,37262,0.301198343,,,,
충남,교육 서비스업(85),계,사업체수[개],개,5620,5829,5982,5958,6127,6286,6101,6192,6317,6434,6540,6685,6871,7065,7044,0.056938466,,,,
충남,교육 서비스업(85),계,종사자수[명],명,55065,56646,55166,58685,62272,63667,59280,59933,60558,64178,62808,65280,67673,70440,66983,0.541440841,,,,
충남,보건업 및 사회복지 서비스업(86~87),계,사업체수[개],개,3313,3500,3780,3999,4526,4896,5126,5394,5763,5661,6086,6356,6408,6525,6419,0.05188643,,,,
충남,보건업 및 사회복지 서비스업(86~87),계,종사자수[명],명,27434,30077,33457,38281,44086,45641,48821,53809,58091,59684,66710,70730,76143,83707,87922,0.710696171,,,,
충남,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,사업체수[개],개,3703,3698,3767,3711,3750,3903,3831,3893,4041,4064,4402,4894,5114,5243,5253,0.042461352,,,,
충남,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,종사자수[명],명,9718,10023,10640,10726,11025,11242,11084,11366,12052,12081,13158,14322,14920,15947,13224,0.106892998,,,,
충남,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,사업체수[개],개,15288,15548,15745,15773,16111,16522,16578,16747,17030,17208,17372,17991,18639,19136,19620,0.158593513,,,,
충남,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,종사자수[명],명,29636,30205,30223,30492,30697,32329,33320,32799,33084,36391,34166,35626,35677,37431,34734,0.280763868,,,,
